URL,Nom,Type,Departement,Ville,Cap été,Cap hiver,Cheminée,Bois,Eau,Couchage,Rando
Details,cabane de aas,Cabane férmée,Pyrénées-Atlantique,Laruns,0,0,,,,0,col d aas de bielle col d ayous tour du pic du midi d ossau
Details,cabane de la glere,Cabane férmée,Pyrénées-Atlantique,Laruns,0,0,,,Oui,,tour de l ossau
Details,cabane lers,Cabane ouverte,Ariège,Le Port,3,3,,,,Direct sur le sol béton,trois seigneurs mont ceint
Details,chalet refuge de pailha,Refuge gardé toute l'année,Haute-Pyrénées,Gavarnie-Gèdre,38,0,Oui,Oui,Oui,Couchage en dortoirs avec couv,
Details,cabane de pucheoux,Cabane ouverte,Pyrénées-Atlantique,Laruns,0,0,,,Oui,,tour de l ossau
Details,cabane de saoubiste,Cabane ouverte mais ocupée par le berger l'été,Pyrénées-Atlantique,Laruns,2,2,non,Oui,Oui,,tour de l ossau
Details,cabane de la serre traversiere,Cabane férmée,Haute-Pyrénées,Sost,0,0,,,,0,
Details,toue de doumblas,Cabane ouverte,Haute-Pyrénées,Arrens-Marsous,1,1,,Oui,Oui,,balaitous port de la peyre st martin
Details,cabane de embanels,Cabane ouverte,Ariège,Rabat-les-Trois-Seigneurs,4,4,Oui,Oui,Oui,"1 couchette étroite en bas, si",pics journalade 3 seigneurs
Details,cabane de esprays d en haut,Ruine,Ariège,Ascou,4,4,Oui,,Oui,,dent d orlu
Details,cabane sestagnous ou estagne,Cabane ouverte,Haute-Garonne,Melles,0,0,,Oui,Oui,non,
Details,cabane de napatch,Cabane férmée,Pyrénées-Atlantique,Issor,,,,,Oui,,trone du roi et ses satellites
Details,abri d appy,Cabane ouverte,Ariège,Appy,1,1,non,non,non,,
Details,cabane de biscacou,Ruine,Pyrénées-Atlantique,Issor,,,,,,,trone du roi et ses satellites
Details,cabane du penot,Cabane ouverte,Pyrénées-Atlantique,Lescun,0,0,,,,,col de pau
Details,refuge de la glere,"Refuge gardé l'été, partie hivernal",Haute-Pyrénées,Barèges,60,20,,,Oui,,turon du neouvielle lac du pourtet lacs de maniportet
Details,cabane de zazpigain chasseurs,Cabane ouverte,Pyrénées-Atlantique,Larrau,5,5,,,Oui,,le pic d orhy depuis les chalets d iraty hrp
Details,couloir de caillauas,Cabane férmée,Haute-Pyrénées,Loudenvielle,0,0,,,,0,lac de caillauas lac de pouchergues les gours blanc
Details,cabane de tinicoude,Ruine,Pyrénées-Atlantique,Lescun,0,0,,,,,
Details,cabane de couyede,Cabane ouverte,Pyrénées-Atlantique,Lescun,,2,,,,,pic bricoutou
Details,cabane pouey aspe,Cabane ouverte,Haute-Pyrénées,Gavarnie-Gèdre,2,2,Oui,,,lits superposés,breche de roland
Details,cabane du courraou gran,Cabane ouverte mais ocupée par le berger l'été,Haute-Garonne,Fos,4,4,Oui,Oui,Oui,,cap de la pique pic de la soulere
Details,cabane de salontere neuve,Cabane ouverte,Haute-Garonne,Fos,0,0,Oui,Oui,Oui,,cap de la pique pic de la soulere
Details,cabane de la hosse vallee d aspe,Cabane ouverte mais ocupée par le berger l'été,Pyrénées-Atlantique,Laruns,5,5,Oui,Oui,Oui,,tour de l
Details,cabane de lous quebottes,Cabane ouverte mais ocupée par le berger l'été,Pyrénées-Atlantique,Laruns,5,5,Oui,Oui,Oui,,tour de l ossau
Details,refuge de l estany llong,Refuge gardé toute l'année,Catalonia,la Vall de Bo,57,0,,,,,gran tuc de colomers 2 931 m tuc de ratera 2 857 m subenuix 2 930 m contraig 2 957 m
Details,refuge de vallserra,Cabane ouverte,Pyrénées-Orientales,Les Angles,10,10,Oui,Oui,Oui,"oui, 4/5 places",la balmeta iglesita de vallserra
Details,cabane de calhaus,Cabane ouverte,Catalonia,Naut Aran,4,4,Oui,Oui,Oui,,mauberme tuc de parros
Details,cabane de consaterre,Cabane ouverte,Haute-Pyrénées,Saint-Lary-Soulan,2,2,,Oui,Oui,,le pic de thou voire le lustou pour les plus endurants
Details,cabana superior de la espata cubilar d a glera,Ruine,Aragon,Villan,0,0,,,,,collado maranan
Details,cabane de lauzeron,Cabane ouverte,Ariège,Couflens,2,2,Oui,Oui,Oui,Pas de bas flancs : couchage s,port de salau en free ride
Details,orri du pla de la font,"Orri, Toue, abri en pierre",Ariège,Auzat,1,1,,,Oui,,pic rouge de belcaire
Details,cabane de bachimana,Cabane ouverte,Aragon,Panticosa,10,10,,,Oui,Bas flancs,boucle depuis cauteret en allant sur vignemale
Details,cabane edf d estaens,Cabane férmée,Pyrénées-Atlantique,Borce,,,,Oui,non,,
Details,cabane de berbegue,Cabane férmée,Ariège,Seix,0,0,,,,,pic de montaud
Details,cabane de pla de gril coma de pontells,Cabane ouverte,Pyrénées-Orientales,Sansa,6,6,Oui,Oui,Oui,Bas flancs pour 6 personnes,le madres roc negre pic de la pelade
Details,mon fre de l orri,Cabane ouverte,Ariège,Montferrier,2,2,Oui,Oui,Oui,neant,balade hivernale vers crete de planas superbe point de vue
Details,abri du lac de trebens,Cabane ouverte,Pyrénées-Orientales,Angoustrine-Villeneuve-des-Escaldes,4,4,,non,Oui,,carlit
Details,cabane edf de clarans,Cabane ouverte,Ariège,Aston,10,10,Oui,Oui,Oui,Bas flancs Matelas propres,une petite halte hivernale pour aller vers quioules
Details,cabane de sardiche,Cabane ouverte,Haute-Pyrénées,Betpouey,3,3,,,Oui,,
